tweet;tipo
yo te creo javier este gobierno es tan estupido que cree que solo sus estupidos son peruanos la negligencia incompetencia e incapacidad de este gobierno hacen que los problemas se agudicen y se vuelvan inmanejables;3
este homosexual de mierda no juega;3
que usas twitter ahora oriental de mierda;3
 quien no;1
necesito alguien k m entienda y sacar tda la mierda kcreo;1
para compensar la nochesita de mierda que pase;1
una amiga mia bulgara se fue a vivir en usa y se lio con un judio progre que se dedica a hablar tonterias protegiendo a los palestinos un judio de mierda;3
no lo eres le da la espalda un segundo lo suficiente para rebuscar en los armarios algo de fruta un par de platos y dejar su petaca en la encimera con todo lo demas nadie es normal en un apocalipsis pero no por eso tenemos que huir unos de otros;1
toda persona que hable asi del vino es mi alma gemela;1
con lo bien que iba sofia coger ropa de gloria me parece malisima persona pero kiko no se queda atras si kiko esta feliz con sofia que haga las cosas bien y deje en paz a gloria tanto como sofia penosos de mierda;1
no se informo de que hubo manifestaciones feministas en bilbao pero aprovecho tambien para echar mierda al feminismo mientras lo hacia con los inmigrantes;1
olvidate perra;2
desde que existen las autonomias la educacion es una mierda;2
que miedo que salga uno de los organizadores y diga que no se suspendio una mierda;1
me ofende resto que tengan la cara para pedir las cosas prestadas pero que no la tengan para devolverlas tarados;2
es que eres tan cabro que no te atreves;3
siempre habran los necesitados de atencion como este pobre idiota;2
aw te extrano;1
maleducado de mierda aun no has aprendido eres un imbecil cretino ambicioso que vas a arruinarnos a todos;2
se prendio esta mierda x;1
yo despues de que termino el recital de y ;1
que mierda de cuerpo tengo;1
no puedo que mierda es esta los de madrid tienen el peor acento de espana;3
porque mierda no me quede en rosario un dia mas y iba ayer a clo;1
que es esta mierda;2
eres calladita te la chupo si quieres;4
diganme que no es cierto diganme que lo estan colgando de las pelotas en este mismo instante en una plaza mientras la gente lo escupe y le tira mierda de perro y piedras;2
 una sesion diferente en costa verde;1
van a subir algo hijos de la gran mierda no me dejen asi;2
no se para que mierda me puse verde;1
no momento frustada;1
poder investigan en los ministerios en la pcm todo bien por ahi no periodismo sesgado;1
la carla es otra machona de mierda;3
manana os respondo todi;1
no voy a negarte por enesima vez la falacia del gasto descontrolado que sostienes que explique con evidencias y con analisis no tirando cifras frias como repetidor descriteriado porque eres un dogmatico de mierda con cerebro de mani;2
kevin no puedes pensar cabro de mierda;3
abascal triste es que te tragues tanta patrana dile a sanri que deje de cobrar de nuestros impuestos por mentir y escupir mierda y que trabaje por una vez en su vida;2
espero que antonio david deje de ser una mierda;2
mira la estupidez que acabo de encontrar jajajaj este es un idiota jajajaj;2
llamar la atencion de alguna manera intentando ridiculizar a alguien para que lean vuestra web de mierda con seguidores si esa es la definicion de patetico;2
es que menuda mierda de guion y de direccion encima la prota actua mal que te cagas;2
 como mierda hace para dormir carolina stanley;2
el amor es una mierda jaja;2
antes que mandarte a la mierda;2
las de los gallos son unas locas de mierda que deberian encerrarlas en psiquiatrico con camisas de fuerza no feministas y no me vengas como feminismo especista que eso te digo yo que se lo inventaron para darle fama a unos subnormales;3
a mi si me gusta;1
a ninguno nos importa la vida de todos los que pasan por el pero todos comentamos por la mierda que tenemos que aguantar cada dia en television;2
este idiota hizo que se me derramara la bilis;2
cuando la que me cae mal participa ;1
toxica de mierda te vas a terminar quedando sola y va a ser por tu propia culpa;2
todos esos raperos son unos pobres de mierda;3
y pensar que me encanta asi con su genio de mierda;1
estoy empezando a enfadarme por el hecho de la expansion de las batallas de rap cuando lo veia antes me gustaban desde que no existia fanatismo por ninguno porque ellos tienen dias buenos y malos ni habia tanto idiota creyendose rapero que asco en serio;2
se que toda la mierda que me esta pasando es porque algo bueno vendra;1
yo cerre agosto y empece septiembre con lo que mas deseaba hace meses no me puedo quejar la verdad;1
la logica es clara si contratan con el estado son fiscalizables si solo contrataran con privados no habria razon para intervenir;1
absurdo presidente ;2
le viene la noche a la familia vizcarra y sus payasos del ejecutivo carajo;2
ay mi gata tiene exactamente esa forma tambien ajajasjsjsjajaj pobres animalitos obesos;1
un litro de aceite quemado y lo prendo fuego cosa que arda despacito porque ni un litro de nafta vale el negro este;3
quisiera ser tan mierda como lo son conmigo;1
vaya fuegos de mierda;2
que mierda es sentirse mal y nunca tener con quien hablar;1
mutuals de mierda;2
le envio videos bailando a meli;1
en agosto sacamos el y en octubre vamos por mas y ustedes dicen q asusta jajajaja los unicos q asustan son lo de este gobierno de mierda por eso se van;2
a la gente que la ayudas y encima tiene una actitud de mierda le quiero decir una sola cosa chupala;2
lo que mas me la subio de este dia de mierda fue ir a probar el auto con mi papa dios que persona del bien;1
no tendras un video nudista por ahí;4
llamame jager oye pos yo encantadisima de ensenarte;1
matematica y educacion fisica son una mierda;2
es lo que tiene jugar con una defensa de mierda y un entrenador con tactica;2
tirame la goma pedazo de mierda;2
almada luis de mierda;2
este es el conjunto de condiciones meteorologicas que me noquea;1
que lindo un sabado venir al gym y que te hagan mierda la prox haganme acordar que no venga mas shoro me duele todo;1
que buen culo que tienes;4
no a ellos en realidad les importa una mierda uribe excepto los implicados en delitos pues el los arrastarara a la carcel solo son oportunistas donde ven que pueden acomodarse arrimandose a quien sea lo hacen eso es todo es politica;2
que decidir mandame los videos sin ropa que tienes para hacer cochinadas perra desgraciada;4
abascal triste es que te tragues tanta patrana dile a santi que deje de cobrar de nuestros impuestos por mentir y escupir mierda y que trabaje por una vez en su vida;2
va a ser un sabado de mierda hoy;1
ay;1
con aire acondicionado pero que mierda es esta;2
vengo al shoping y me imagino lo perra que se veria novia con la ropa y le quiero comer todo;4
tio mido ;1
la mierda siempre junta;2
y a sabiendas de que es famosa y saben que solo la pueden joder pero que no contestaran;1
no entiendo porque mierda no me bajo la fiebre en todo el puto dia;1
hoy es un dia de esos en los que me siento muy seguro de mi;1
que cabro de mierda;3
no amigo no te pareces a bunbury mucho menos a lp ese tu pelo mierda parece chimadera de conejos no te las lleves de col;2
defitivamente son los futuros lideres del vrae en unos anitos estaran protagonizando en la politica vraina;1
a la mierda las pastillas jajaj hoy se escabia;1
lo peor es que me cago la ilusion el viejo ese porque yo la queria ver el primer dia claramente ya que a mi primito no pude se tendria que haber muerto con ese golpe viejo choto come mierda;2
en este paraiso como llamas con dolar pagas todos los servicios publicos telefono fijo y movil cable gas luz metro y gasolina para carros por el mes y sobran centavos aun nadie paga impuesto se hace lo que se venga en gana y nadie rompe las pelotas idiota;2
esta es mi vida y es una puta mierda y no quiero arrastrarte a ti en ella;1
espn pero hizo mas goles que blanco desde tu persepectiva tan imbecil eso lo hace mejor sabemos que la sonrisa del chicharo cura el cancer y acaba con el hambre en el planeta pero lamento decirte que no es el dios que las televisoras han dicho;2
mierda pude haber invertido mi tiempo en otra cosa;2
asqueroso que mierda de persona es este poco hombre;2
voy a ver la mierda esta e insultar por aqui a ver si me animo;2
plane quedarme toda la tarde haciendo ejercicios y como cabeceaba a cada rato puse la alarma para una siestita de hora me acoste a las recien me levanto y no hice una mierda me odio mucho;1
enserio pio tanta mierda tenes que tener en el cerebro ;2
hay cosas que me parten el corazon y despues esta cuando mi perra se para cada paseo delante de la casa donde vivia su mejor amigo;1
que te pasa tonta de mierda;2
que dia de mierda loco;1
que gila de mierda como dormi;2
lo pensaste muy bien en no decir esa palabra ya lo se idiota yo a ti estoy super he estado escribiendo varias cosas y me siento productivo que va rizitos me agrada tu que tal;1
eso no lo dijo todo lo sacan de contexto el caso es meter mierda a bale y al equipo la prensa da mucho asco;2
block que haces aqui perra;1
que curso de mierda;2
amigo que onda esa gente que te trata de inmaduro por hacer bromas;2
empezo este maricon no lo entiendo;3
y ojala lo haga pronto con venezuela al enemigo ni agua a estos desgraciados comunistas hay que ahogarlos en su propia mierda el arbol de la libertad debe ser vigorizado de vez en cuando con la sangre de patriotas y tiranos es su fertilizante natural thomas jeferson;3
este tipo de verdad es idiota;2
bebesita pero viste que cuando te tiran no duele bebesita y si te llego agarrar santita esta perra;4
que shity vomitar despues del alcohol o sea es como que te sientes mucho mejor pero ahora sientes que todo tu cuerpo esta lleno de mierda y quieres sacarla ya pero no la puedes vomitar pq ya el alcohol esta en tu sangre y cerebro buh;1
maravillosas desiciones;1
me compre conjuntos de ropa interior q dios q perra;1
siempre me pregunto esta vaina;1
sigueme buscando perra hijueputa tu no me conoces deja de ser tan baja de andar haciendo guevadas que ni pendiente ando de tu mierda si no me dicen los clientes ni me entero porque te votaron donde miguel por andar hablando lo que no debes;2
y si te la meto;4
 y por que mierda tendria que haber mujeres ahora no se puede contar una historia donde los protagonistas son hombres porque si o si te piden exigen que metas una mujer si al escritor se le canto el culo poner hombres;3
si oe;1
flaca chupame la pija perra;4
cerveza gracias quilmes por ponerle una imagen y un escudo a todo eso que un tipo futbolero argentino y de bien debe odiar bover ah a tu pregunta respondemos anda a la puta que te pario tu y tu cerveza de mierda aguanten las artesanales y las importadas de holanda;2
eran cuatro mujeres venezolanas desayune arepa con huevo revuelto porotos negros y no comi algo que habia con leche porque soy intolerante a la lactosa trabajamos desde las hasta las pm parece que no soy tan perra como te imaginas que soy no;1
senor johnbolton deje de elogiar tanta mierda;2
que vecinos de mierda me tocaron;2
en el brasier y en sus partes intimas todo;4
y para esa mierda de marcha hueviaron un mes jajajaja;2
si tan solo no tuviese los labios hechos mierda ;1
que dia de mierda;1
y esa perra;2
por cierto eramos literalmente tres personas en la sala y no sabia que la sala vip del paseo el hatillo tenia butacas reclinables y super comodas eso si creo que es la sala mas cara de caracas fui alli porque en otros lados los horarios eran una mierda;2
quien mierda esta en tendencia no la conzco;2
igual estamos en guate;1
que tarde de mierda loco;1
la conclusion de lo de hollman y la ex es que ambos son una par de conchudos de mierda;2
no le entiendo a este chileno cuando habla;3
ese idiota me bloqueo hace un tiempo;2
a ninguno nos importa la vida de todos los que pasan por el pero todos comentamos por la mierda que tenemos que aguantar cada dia en television;1
como odio los putos venecos de mierda;3
no existen las malas influencias cada uno hace y deja de hacer lo que mierda le pinta y se le canta el forro del orto porq tengo amigos q son mas q sanos y yo me puedo estar fumando un porro en frente suyo y ni se inmutan;1
es una mierda vivir con este grupo de cabros;3
cantinflas malo idiota era horrible ojala te denuncie;2
nadie vive por nadie;1
que estres la gente que no se hace cargo de las actitudes de mierda que tienen;2
al fin se fue ese down;3
cuesta ustedes los borregos han estado acosando a un sujeto por orden de una nina caprichosa y su madre que no han demostrado ni mierda que es culpable;2
voy a tirar todo a la mierda;1
soy una mierda con todo el mundo;1
tengo ganas de hacer un canal mas casual en espanol pero tambien tengo miedo de los comentarios sobre mi castellano de mierda;1
dios que rica este perra;3
 luce tu mejor sonrisa no esperes mas y separa tu cita inbox;1
me suspendieron la cuenta por rajar de los venezolanos;3
chale confirmo bastante;1
jaja pero que mierda estoy leyendo;1
chan davis a mi me han explotado trabajando en hoteleria y restauracion;1
sostiene serena iguales segundo set gran remontada de su parte andrescu es ahora la desconcertada;1
quiero tu culo perra;4
entiendo bien tu humor negro aunque no sepas hablar;3
confirmo que en estos dias de mierda no se puede hacer mas nada que estar en la cama;1
no puedo mas con el dia de mierda que estoy teniendo;1
idiota y en israel el servicio militar lo prestan tanto hombres como mujeres y se enfrentan a guerrillas del hezbollah que son igual de asesinos que las farc y alla no andan con ese cuento barato de que sus hijos van a la guerra;1
si te tuviera cerca me chuparias la pija estoy seguro;4
no quiero saber nada con salir a estas discotecas de mierda de cabros;3
que tipa mas imbecil;2
la gente es una mierda y siempre trataran de aprovecharse de uno por lo mas minimo asi que hay que alejarse de esa gente loca;2
como quisiera acompanarte pero estoy en jaen cajamarca;1
pero si eres una mierda de persona;2
vamos a ver esta semana y la que viene voy a trabajar hasta poco despues de la hora de comer entonces yo la visto aqui;1
que perra mi amiga ;2
que dia de mierda;1
idiota;1
hola te sigo pendeja de mierda que me dices asquerosa si eras igual a veces;2
que te jode el capitalismo rojo comunista de mierda que te quieres quedar como los venezolanos esos;3
ojo dani;1
me gustas muchisimo pero eres una mierda;2
le haces mierda a todos;2
y no juzgo a nadie por su capacidad de dar apoyo;1
vaya mierda de torneo;2
mejor porque no haces un video de ti desnuda y me lo pasas;4
nc como mierda voy hacer para bajarme del bondi;1
creo que algunos pueden pasar dias alimentandose de pan y coca cola o con la casa vuelta mierda aunque conozco manes tambien super enfermos con la limpieza;2
la perra de cargelys si no es por el amorcito que tiene ahora son las amigas pero juro me cambia;2
la coca cola y tu puta madre;2
y usted tambien abuelo emberracado de mierda aguantes que de los otros tambien solo queres uribestas para la mierda tambien fuera abuelo de mierda;2
yo juro que te hago cagar hoy rico hijas de puta perra estupida me hinchas los huevos;4
tu indiferencia me caga zorra;2
mandarlos a la mierda de una puta vez;2
la proxima agua con mierda;1
estas son las cosas que vale la pena aprender desde muy pequeno que bueno saber que el estado esta tomando accion con este tema;1
rojas porque salio de canal o la sacaron adrian perez canedo te gustaba lo que decia del pg eres la misma mierda de periodismo que criticas maricon;3
a mi ambas;1
como seria posible que alguien me quisiera igual de lo que yo quiero si la gente es una puta mierda podrida que asco de mundo;2
joder;1
tengo el corazon hecho mierda como los buenos nos vamos por tomar deciciones de ultimo momento wil papi te quiero y te voy a querer siempre te recordare como la gran persona que fuistes y no porque te hallas ido eramos mas los los que si queriamos escucharte y ayudarte;1
que mierda en los equipos en donde se uno no se pone a hacer algo;1
lt no llegase a tener nada serio contigo pero menos mal que no conozco dicho dato porque me hubieras hundido en la mierda emocionalmente si ya desde pequeno siempre me he sentido inferior a kyros y soy el tio mas inseguro del mundo esto ya gt;1
todos queremos hijos felices;1
a esta mierda piensan votar;2
a que horas renuncias idiota de mierda incapaz de porqueria por lo menos has tus cochinadas pero haz la finta tambien pues imbecil;2
a mi me parece una mierda que por un lado;1
te go que sacarme la mierda;1
cristobal eres peor que una mosca alrededor de una mierda;2
estas cosas me ponen muy idiota;1
dejen los demas quietos pero si al que le hicieron bullying fue al chamito que no queria comer mierda;1
q mierda yo emocionau pq tenia algo q decirle a kiko;1
los hombres de honor mueren luchando y no se meten un tiro la historia lo recordara como el capitulo corrupto de nuestra historia las embajadas de latinoamerica le cerraron las puertas a un corrupto y solo le quedo meterse un tiro por cobarde;2
es k sencillamente no me pasa;1
ya callate perra estupida yo cada vez que me pongo a pensar en el;2
mira pero si me preguntan cualquier puta mierda;2
hace poco se dio cuenta que angelita la esta usando para que el hermanito de angela se llene de plata siendo contratista del estado asi o mas pendeja claudia usted es una pendeja de mierda ademas de corrupta bipolar grosera antisocial vendida regalada rastrera;2
para loca de mierda jajaja;2
me puedes gustar pero tampoco soy una idiota;1
aunque les pongas el logo de chanel siguen sabiendo una puta mierda;2
subnormal quien te lo mando;3
lo estaba dando todo por alguien;1
tengo que sacarme la mierda;1
no me gusta la estetica gamer lo mas parecido es mi mouse redragon que tiene botones de mas ya le puedo tirar mierda a apple ;2
la gente del us open siempre es una mierda;2
esa funcionaria internacional es simplemente una genocida responde a los planes globalistas de la onu;2
esa historia esta en tu mente y tu solo repites lo que los demas dicen ve a una terapia creme te ayudara mucho yo fui cuando subio la gasolina el idiota de y ya me estoy recuperando;1
por que mierda nadie me avisa que parezco una cheta pelotuda diciendo tipo mil veces en una misma oracion dios insoportable;1
que materia de mierda derecho;2
telerium quieres ver el partido en hd y hacer mil clicks en esta mierda de baner abriendo publicidades infinitamente basta telerium la conchadetumadre;2
la verdad;1
me retracto me habia olvidado que soy una llorona de mierda y me deshidrate entera en el capitulo ahora pensare en lo horrible que es el pasado y que a veces tomamos decisiones tontas que nos llevan a caminos irreparables y llorare hasta el lunes;1
dios no entendiste el chiste la onda era q no iba a coger x lo virgen de mierda q soy;1
no seas pavo hermano;2
que nivel de mierda manejas en handball ultimamente;2
como para que los hombres no tengan la cabeza llena de mierda si miran estas cosas ;2
se me olvida postear la mierda que hago en esta red social;2
la sandez y gilipollez del dia a la mierda senora;2
jajajajajajajajajajajajaj me fui a la mierda;1
era un terrorista de mierda;2
los nervios me estan haciendo mierda el estomago lpm;1
pero vamos a ver este tio lo que es un maricon;3
ganas no me faltan para chuparte el culo;4
me quiero ir para la mierda;1
me salio esta mierda hoy;1
es el queso de cabra hasta con mierda por encima esta bueno hahahahah;1
por que no te rapto y te cojo a la luz del sol;4
mensaje para la gente alta seras un pino pero nada comparado con lo que yo cago hasta mi mierda es mejor que tu;2
el segundo fandom de mierda;2
fui a lanus al pedo;1
 caro eu x chico q paso caro no nada nada encerio ah como me gustaria decire que te amo y siempre lo voy hacer pero me hiciste mierda dios;1
america que divertido estos locos como maduro ;1
que lindo es amarme;1
esta semana me encontre anillos que mierda significa ;1
la razon n de que tener hermanxs es bueno es cuando puedes comentar con ellxs que vuestro wifi es una mierda y te van a entender a la perfeccion ;1
nawebonah ya marco con metropolitanos y con mineros no hacen ni mierda sigo sin saber por que los jugadores no rinden en mineros y en otros clubes si me estoy empezando a crer lo de la maldicion;2
un reformismo progre la misma tonteria siempre los comunistas;3
pero mete mierda e informacion falsa que hasta en ar ella presento unos papeles de que habia recuperado los puntos del carnet y descubrieron que era falso;2
puto loco de mierda asi debieron tratarlo al pendejo;2
que asco que no sepan apreciar el arte de las personas y por eso lo denigren si no te gusta;2
manana va a ser un dia de mierda pero bestia odio los domingos;1
perra adulta te odio ;2
sinceramente nina esta haciendo esto por celos y miedo a estar sola si estas enamorada de el dile a tu amiga tu novio me gusta no vayas luego por la espalda izumi es un cobarde de mierda por no decir las cosas a la cara;1
 manana mierda;1
me hizo mierda ver eso;1
vamos a exigir al chaval que lleva jugando futbol desde que tiene memoria que no diga nada y sea un buen idiota sin salir nunca de su talento que eso es cosa de otros ahora exigir a la sociedad que no le haga caso en ese aspecto por lo mismo es que no deberia ser necesario;1
no le digan a las personas las cosas que te duelen porque van y lo hacen o usenlo para distinguir gente de mierda de gente buena;2
 mensajes que me acaban de hacer el corazoncito mierda;1
no wey;1
cata amor como mierda te iba a dar unf a vos si sos mi mutual fav flaca;1
y si te como el chumi;4
no me jodas mas homosexual de mierda;3
como si fuera nuestra responsabilidad;1
que mierda es esta vale;2
me gustaria salir con mis amigas a tomar algo y agarrarnos tremendo borrachera pero son todas unas aburridas de mierda;2
me estaba depilando y me saque la mitad de la ceja mas idiota imposible;1
soy una mierda de persona;1
esos ciudadanos de mierda los empezo a crear ad amp copey hoy reunidos en la mudfa y el psuv que es un apendice de los partidos de la mudfa conclusion mudfa psuv por lo tanto hay que salir de esas plagas;2
hace unas semanas comenzasteis campana contra el fundador del openarms y ahora contra greta thunberg cuando el planeta se haya ido a la mierda;1
te ibres de gloria que te guste el futbol es de zoquetes y ademas el futbol es mierda y las ninas tienen que ser lo que a ti te parece y no me digas mas eso lo tiene que hacer la educacion publica fascinante;1
que mierda es elite la concha de su madre;2
si se puede hartar su mierda este cholo hijo de la gran puta de villa nueva;3
esa version es una mierda la original es mejor;2
que necesidad tienes de jugar con los sentimientos de alguien que en verdad te quiere eso no te hace una persona piola;2
no te da verguenza ser un cabro;3
que inseguridades de mierda tengo;1
pinche pendejete sin huevos de mierda;2
jajajajajajajajajajajaj sos una idiota te adoro;1
que se siente saber que fueron mas los wnes que votaron por ti que los asistentes a la marcha de mierda esa ;2
palma conchetumare siempre se tira el mismo dato de mierda de campestrini con maradona basta;2
sapos coperantes de mierda;2
tu ignorancia palomon no tiene limites ni idea de produccion agricola imbecil;2
que verguenza pelagatos cagados de la sierra ignoramtes de mierda ya nadie les cree jaja;3
se avecina noche de mierda ;1
anda a cantar a la puna serrano;3
lo q da asco es el smirnof aparte de ellos obviamente;1
vecino no a todo el barrio le gusta su musica de mierda;2
siempre;1
que lindo que alguien te levante el animo cuando estas teniendo un dia de mierda;1
es que es gente que no sabe de futbol solo por que tienen un nombre piensan que saben de todo estan bien pendejos el otro idiota de julian gil lo meten a un programa de deportes y pienso que en su vida a jugado furbol;2
muy orgulloso esperaba algo mejor y no esa mierda;2
x lejos de todo;1
obscenamente repugnante y este mierda quiere gobernar con mi voto no;2
ojala la vida no se me vuelva como mi exposicion de hoy una mierda;1
hombres puta madre que mononeuronal de mierda este tipo;2
me recibo de imbecil;1
le deje mil mensajes a mi hermano diciendo que elimine la foto de mierda que subio de estado;2
loren ferraro si;1
eres una perra por que no me muestras tu video;4
que mierda de persona debes de ser como para burlarte de que nos acosen;1
conchale pero esos peruanos de mierda hay que castrarlos;3
me siento una mierda de persona;1
yo no pego una con los trabajos uno peor que otro que lugares de mierda en los que trabajo;1
si debe haber un pueblo idiota que te crea;2
reclamas por todo vieja de mierda;2
estoy cansada de sentir que si no digo que me encuentro mal no me habla literalmente nadie y que literalmente le importo una mierda a todo el mundo ya sea gente de mi ciudad o de otra;1
cerveza que mierda haces quilmes la putisima madre que te pario;2
es prender el computador y el internet se va a la mierda los odio mucho;1
veni aca mesa de mierda;1
que hdp resaca de mierda;1
dia de dos en ayacucho;1
se nota que hace mucho no hago nada por que jugue el segundo set del partido y estoy hecha mierda;1
que resistas de mierda;2
a la mierda con la gente toxica me siento estupendo en lejos de todo;2
que levante la mano quien como idiota tararea la cancioncita del anuncio del golf y con el anuncio de la tv sigue la melodia dando palmas porque yo es que tengo el anuncio metido en la cabeza;1
landon el humano esta ahi porque el sale de los cojones;2
realmente los rusos son imperialistas tanto o mas que los americanos lo unico que los anos de comunismo volvieron mierda rusia por eso ellos no han podido llegar ni a la rodilla de los americanos;3
no puede ser la gracia que me hizo esta mierda los odio a todos ajsjwjsjs;2
demasiados desagradables los gringos en este torneo;3
lo que iba a ser un fin de semana de la hostia ha acabado siendo un fin de semana de mierda;1
haceme mierda;1
soy un puto desgraciado;1
la hizo mierda;2
por que mierda subestiman lo que le pasa al otro la concha bien de su madre;2
que manera de tomar decisiones de mierda;1
vuestra mierda de justicia le mete anos por un montaje policial y ahora que sale quereis evitar que sus familiares y amigos le reciban con carino sois unos putos psicopatas;2
 pero como te vas a ir y no me vas a esperar huevon si sabes que el transporte publico es una mierda y es una eterna lucha con la puntualidad;2
jajajajajaja;1
esto es verdad curu menudo imbecil;2
picheto va hacia el poder;1
contando los anos para poder irme a la mierda;1
como me falla los sabados este colectivo de mierda;2
cebado de mierda q soy con la pelotita;1
me pongo todos tus programas en bucle hasta quedarme dormida con el volumen a mientras se me desintegran las orejas dejando un rastro de purpurina aunque no entienda una mierda simplemente si trump hablara tan bien como tu lo votaria le haria un altar con velitas de vainilla;1
juntos por la agradece la llegada de bomberos franceses a bolivia quienes se sumaran a las operaciones para apagar los incendios en la chiquitania;1
wey ya no se si estoy llorando por la perra tarea o por el jajajajajaja;1
juntos por la agradece la llegada de bomberos franceses a bolivia quienes se sumaran a las operaciones para apagar los incendios en la chiquitania;1
he volvido pq me siento bien mierda xd;1
es una mierda si se siente dlv por que en vez de timida pareces muda;1
si te la meto por el culo ;4
si hay nenitas interesadas en mis bestios suelo ir a tomar algo los sabados;4
estas ahí porque se la chupas a tu jefe y a mi;4
se ha tenido que cachar al gordo menuda zorra;4
me parece que el idiota eres tu;2
juntos por la agradece la llegada de bomberos franceses a bolivia quienes se sumaran a las operaciones para apagar los incendios en la chiquitania;1
el idiota que grita esta en el piso de abajo;2
se dan cuenta porque le digo que es un descelebrado de mierda firmar un decreto para teaer basura nuclear a nuestro pais ya demasiado basura son ellos mas;2
nos reimos de ellos pero la realidad es que han estado siempre ahi y ahora se ven con impunidad y alguien se hara dano con esta mierda al fascismo se le aplasta y no veo mucho espanol dispuesto a machacar a estas cucarachas catalunya y euskadi si plantan cara al fascismo;3
no habra un puto dia en que no tenga ganas de irme a la mierda de mi casa harta me tienen loco;1
cuesta por cierto yo me expreso como yo quiera y no por eso debe dar mal rollo eso es muy idiota;2
juntos por la agradece la llegada de bomberos franceses a bolivia quienes se sumaran a las operaciones para apagar los incendios en la chiquitania;1
me compre cosas dulces para ponerme a estudiar;1
